Interval,Top Keyword,Count
2010Q3,Party,5
2010Q3,San,5
2010Q3,film,5
2010Q3,Deep,4
2010Q3,Sun,4
2010Q3,time,4
2010Q3,Kapoor,4
2010Q3,jewellery,3
2010Q3,art,3
2010Q3,wedding,3
2010Q3,cricket,3
2010Q3,party,3
2010Q3,man,3
2010Q3,Chennai,3
2010Q3,Bollywood,3
2010Q3,She,3
2010Q3,Big,3
2010Q3,Boss,3
2010Q3,Hip,3
2010Q3,India,3
2010Q3,hop,3
2010Q3,house,3
2010Q3,romance,3
2010Q3,dance,3
2010Q3,Son,3
2010Q3,show,3
2010Q3,Khan,3
2010Q3,strike,3
2010Q3,Toronto,3
2010Q3,Hollywood,2
2010Q3,honour,2
2010Q3,killing,2
2010Q3,FIFA,2
2010Q3,style,2
2010Q3,football,2
2010Q3,Malayalam,2
2010Q3,Shi,2
2010Q3,Mon,2
2010Q3,tree,2
2010Q3,Sony,2
2010Q4,Delhi,21
2010Q4,Chennai,16
2010Q4,Raj,12
2010Q4,Bangalore,11
2010Q4,Hyderabad,10
2010Q4,Khan,10
2010Q4,Mumbai,9
2010Q4,Deep,8
2010Q4,fashion,8
2010Q4,India,7
2010Q4,film,7
2010Q4,wedding,6
2010Q4,Bollywood,6
2010Q4,day,6
2010Q4,Shah,6
2010Q4,Kolkata,5
2010Q4,Sal,5
2010Q4,Chandra,4
2010Q4,Son,4
2010Q4,Ash,4
2010Q4,bail,4
2010Q4,Shiva,3
2010Q4,music,3
2010Q4,hop,3
2010Q4,Kapoor,3
2010Q4,hair,3
2010Q4,Bar,3
2010Q4,screen,3
2010Q4,Sam,3
2010Q4,sex,3
2010Q4,single,3
2010Q4,Halloween,3
2010Q4,Sun,3
2010Q4,Friday,3
2010Q4,Shi,3
2010Q4,Kat,3
2010Q4,Pre,3
2010Q4,Bihar,3
2010Q4,power,3
2010Q4,Far,3
2010Q4,Kumar,3
2010Q4,social,3
2010Q4,new,3
2010Q4,time,3
2010Q4,Malik,3
2010Q4,Cho,2
2010Q4,murder,2
2010Q4,Hip,2
2010Q4,Robot,2
2010Q4,Pune,2
2011Q1,Delhi,32
2011Q1,Chennai,17
2011Q1,Hyderabad,11
2011Q1,India,11
2011Q1,Bangalore,9
2011Q1,Khan,9
2011Q1,time,9
2011Q1,Shah,9
2011Q1,Raj,9
2011Q1,Man,7
2011Q1,Kapoor,7
2011Q1,fashion,7
2011Q1,music,7
2011Q1,Ali,7
2011Q1,wedding,6
2011Q1,San,6
2011Q1,Cricket,5
2011Q1,Sai,5
2011Q1,day,5
2011Q1,Kang,5
2011Q1,Mumbai,5
2011Q1,Dev,5
2011Q1,Bollywood,5
2011Q1,Pune,5
2011Q1,Anand,5
2011Q1,Jack,5
2011Q1,Ram,4
2011Q1,New,4
2011Q1,Year,4
2011Q1,Deep,4
2011Q1,Son,4
2011Q1,Sharma,4
2011Q1,party,4
2011Q1,Double,4
2011Q1,Sal,4
2011Q1,film,4
2011Q1,Jai,4
2011Q1,Singh,4
2011Q1,cricket,4
2011Q1,Rani,4
2011Q1,Women,4
2011Q1,heart,3
2011Q1,Kolkata,3
2011Q1,single,3
2011Q1,Sur,3
2011Q1,Art,3
2011Q1,Chi,3
2011Q1,Katrina,3
2011Q1,love,3
2011Q1,Pan,3
2011Q2,Mumbai,24
2011Q2,Delhi,23
2011Q2,Khan,20
2011Q2,Bangalore,16
2011Q2,Shah,13
2011Q2,Bollywood,11
2011Q2,India,11
2011Q2,time,10
2011Q2,Sal,10
2011Q2,Cha,9
2011Q2,Pune,8
2011Q2,film,7
2011Q2,Chennai,7
2011Q2,Singh,7
2011Q2,Raj,7
2011Q2,Kumar,7
2011Q2,day,6
2011Q2,Kapoor,6
2011Q2,Kang,6
2011Q2,Ram,6
2011Q2,Dev,6
2011Q2,cricket,5
2011Q2,Murder,5
2011Q2,crore,5
2011Q2,Mall,5
2011Q2,She,5
2011Q2,Bach,5
2011Q2,together,5
2011Q2,Day,5
2011Q2,Rana,4
2011Q2,Indians,4
2011Q2,fashion,4
2011Q2,Son,4
2011Q2,San,4
2011Q2,Gandhi,4
2011Q2,Katrina,4
2011Q2,Cho,4
2011Q2,Mother,4
2011Q2,Man,4
2011Q2,Awards,3
2011Q2,item,3
2011Q2,Windows,3
2011Q2,producer,3
2011Q2,Anna,3
2011Q2,Time,3
2011Q2,girl,3
2011Q2,Black,3
2011Q2,music,3
2011Q2,NBA,3
2011Q2,Sun,3
2011Q3,Khan,67
2011Q3,Kapoor,51
2011Q3,Shah,34
2011Q3,Delhi,29
2011Q3,Sal,24
2011Q3,San,17
2011Q3,Cho,16
2011Q3,Bollywood,15
2011Q3,Singh,13
2011Q3,Dev,13
2011Q3,Katrina,12
2011Q3,Son,12
2011Q3,Kai,11
2011Q3,India,10
2011Q3,Mumbai,10
2011Q3,Ali,10
2011Q3,Ahmed,9
2011Q3,Ram,9
2011Q3,John,9
2011Q3,Abraham,9
2011Q3,Bach,8
2011Q3,Sharma,8
2011Q3,man,8
2011Q3,fashion,7
2011Q3,Raj,7
2011Q3,Kumar,7
2011Q3,Anna,7
2011Q3,She,6
2011Q3,Sai,6
2011Q3,Far,6
2011Q3,Deep,6
2011Q3,Body,6
2011Q3,Man,5
2011Q3,music,5
2011Q3,Nik,5
2011Q3,item,5
2011Q3,Pre,5
2011Q3,star,5
2011Q3,Big,5
2011Q3,Boss,5
2011Q3,face,5
2011Q3,Paris,5
2011Q3,Hilton,5
2011Q3,Has,4
2011Q3,wedding,4
2011Q3,Bangalore,4
2011Q3,day,4
2011Q3,Hollywood,4
2011Q3,time,4
2011Q3,film,4
2011Q4,Khan,24
2011Q4,Kapoor,22
2011Q4,Mumbai,17
2011Q4,Delhi,13
2011Q4,India,13
2011Q4,Big,12
2011Q4,Sal,11
2011Q4,Boss,11
2011Q4,Shah,11
2011Q4,Trophy,10
2011Q4,Bollywood,9
2011Q4,Singh,9
2011Q4,Raj,8
2011Q4,Man,7
2011Q4,Sharma,7
2011Q4,time,7
2011Q4,Bach,7
2011Q4,Bangalore,6
2011Q4,life,6
2011Q4,John,5
2011Q4,San,5
2011Q4,Katrina,5
2011Q4,Son,5
2011Q4,Anna,5
2011Q4,Suzuki,5
2011Q4,Hyderabad,4
2011Q4,pan,4
2011Q4,Kara,4
2011Q4,Steve,4
2011Q4,Job,4
2011Q4,League,4
2011Q4,Black,4
2011Q4,Gujarat,4
2011Q4,Abraham,4
2011Q4,sex,4
2011Q4,cricket,4
2011Q4,Deep,4
2011Q4,Kerala,4
2011Q4,film,4
2011Q4,Leone,4
2011Q4,One,4
2011Q4,Railway,3
2011Q4,show,3
2011Q4,Ali,3
2011Q4,Kai,3
2011Q4,people,3
2011Q4,Rai,3
2011Q4,food,3
2011Q4,Dev,3
2011Q4,Chevrolet,3
